backend,selected_kernel,work_group_size,cl_compiler_options,matrix_dimensions,elapsed_s
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26975
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00052
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00393
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03406
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26794
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00050
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00381
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03432
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26774
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00053
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00392
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03545
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26947
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00063
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00501
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.04222
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26800
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00052
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00400
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03561
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26758
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00053
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00395
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03510
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26925
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00050
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00380
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03427
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26686
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00049
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00379
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03429
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26656
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00052
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00400
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03575
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26861
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00050
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00387
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03398
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26732
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00053
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00399
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03536
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26735
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00051
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00396
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03424
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26816
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00066
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00498
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03816
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26767
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00052
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00394
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03534
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26739
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00052
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00398
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03547
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26733
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00050
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00378
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03425
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26785
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00052
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00390
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03553
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26669
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00051
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00397
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03518
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26915
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00049
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00380
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03412
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26603
