backend,selected_kernel,work_group_size,cl_compiler_options,matrix_dimensions,elapsed_s
myGEMM.cl, 1, 8,-cl-std=CL1.2,1024,3.39272
myGEMM.cl, 1, 8,-cl-std=CL1.2,2048,28.17937
myGEMM.cl, 1, 8,-cl-std=CL1.2,512,0.41191
myGEMM.cl, 1, 8,-cl-std=CL1.2,1024,3.42175
myGEMM.cl, 1, 8,-cl-std=CL1.2,2048,33.61606
myGEMM.cl, 1, 8,-cl-std=CL1.2,512,0.41464
myGEMM.cl, 1, 8,-cl-std=CL1.2,1024,3.42827
myGEMM.cl, 1, 8,-cl-std=CL1.2,2048,32.77024
myGEMM.cl, 1, 8,-cl-std=CL1.2,512,0.42557
myGEMM.cl, 1, 8,-cl-std=CL1.2,1024,3.36743
myGEMM.cl, 1, 8,-cl-std=CL1.2,2048,33.82590
myGEMM.cl, 1, 8,-cl-std=CL1.2,512,0.41474
myGEMM.cl, 1, 8,-cl-std=CL1.2,1024,3.38189
myGEMM.cl, 1, 8,-cl-std=CL1.2,2048,30.16966
myGEMM.cl, 1, 8,-cl-std=CL1.2,512,0.41142
myGEMM.cl, 1, 8,-cl-std=CL1.2,1024,3.35674
myGEMM.cl, 1, 8,-cl-std=CL1.2,2048,32.19659
myGEMM.cl, 1, 8,-cl-std=CL1.2,512,0.43762
myGEMM.cl, 1, 8,-cl-std=CL1.2,1024,3.34005
myGEMM.cl, 1, 8,-cl-std=CL1.2,2048,30.22016
myGEMM.cl, 1,16,-cl-std=CL1.2,512,0.43915
myGEMM.cl, 1,16,-cl-std=CL1.2,1024,3.51550
myGEMM.cl, 1,16,-cl-std=CL1.2,2048,33.78937
myGEMM.cl, 1,16,-cl-std=CL1.2,512,0.43781
myGEMM.cl, 1,16,-cl-std=CL1.2,1024,3.46598
myGEMM.cl, 1,16,-cl-std=CL1.2,2048,31.79364
myGEMM.cl, 1,16,-cl-std=CL1.2,512,0.43209
myGEMM.cl, 1,16,-cl-std=CL1.2,1024,3.55480
myGEMM.cl, 1,16,-cl-std=CL1.2,2048,33.21885
myGEMM.cl, 1,16,-cl-std=CL1.2,512,0.43372
myGEMM.cl, 1,16,-cl-std=CL1.2,1024,3.48457
myGEMM.cl, 1,16,-cl-std=CL1.2,2048,33.79564
myGEMM.cl, 1,16,-cl-std=CL1.2,512,0.42803
myGEMM.cl, 1,16,-cl-std=CL1.2,1024,3.57021
myGEMM.cl, 1,16,-cl-std=CL1.2,2048,35.16096
myGEMM.cl, 1,16,-cl-std=CL1.2,512,0.42975
myGEMM.cl, 1,16,-cl-std=CL1.2,1024,3.46720
myGEMM.cl, 1,16,-cl-std=CL1.2,2048,34.54644
myGEMM.cl, 1,16,-cl-std=CL1.2,512,0.44414
myGEMM.cl, 1,16,-cl-std=CL1.2,1024,3.47397
myGEMM.cl, 1,16,-cl-std=CL1.2,2048,33.41284
myGEMM.cl, 1,16,-cl-std=CL1.2,512,0.44358
myGEMM.cl, 1,16,-cl-std=CL1.2,1024,3.61530
myGEMM.cl, 1,16,-cl-std=CL1.2,2048,35.25157
myGEMM.cl, 1,16,-cl-std=CL1.2,512,0.44969
myGEMM.cl, 1,16,-cl-std=CL1.2,1024,3.62371
myGEMM.cl, 1,16,-cl-std=CL1.2,2048,33.69243
myGEMM.cl, 1,16,-cl-std=CL1.2,512,0.44122
myGEMM.cl, 1,16,-cl-std=CL1.2,1024,3.51794
myGEMM.cl, 1,16,-cl-std=CL1.2,2048,34.61079
myGEMM.cl, 3, 8,-cl-std=CL1.2,512,0.22376
myGEMM.cl, 3, 8,-cl-std=CL1.2,1024,1.77349
myGEMM.cl, 3, 8,-cl-std=CL1.2,2048,14.64770
myGEMM.cl, 3, 8,-cl-std=CL1.2,512,0.08762
myGEMM.cl, 3, 8,-cl-std=CL1.2,1024,0.70085
myGEMM.cl, 3, 8,-cl-std=CL1.2,2048,5.94331
myGEMM.cl, 3, 8,-cl-std=CL1.2,512,0.08733
myGEMM.cl, 3, 8,-cl-std=CL1.2,1024,0.70196
myGEMM.cl, 3, 8,-cl-std=CL1.2,2048,5.92380
myGEMM.cl, 3, 8,-cl-std=CL1.2,512,0.08750
myGEMM.cl, 3, 8,-cl-std=CL1.2,1024,0.70096
myGEMM.cl, 3, 8,-cl-std=CL1.2,2048,5.98245
myGEMM.cl, 3, 8,-cl-std=CL1.2,512,0.08734
myGEMM.cl, 3, 8,-cl-std=CL1.2,1024,0.70200
myGEMM.cl, 3, 8,-cl-std=CL1.2,2048,5.97151
myGEMM.cl, 3,16,-cl-std=CL1.2,512,0.22204
myGEMM.cl, 3,16,-cl-std=CL1.2,1024,1.69981
myGEMM.cl, 3,16,-cl-std=CL1.2,2048,14.20648
myGEMM.cl, 3,16,-cl-std=CL1.2,512,0.05419
myGEMM.cl, 3,16,-cl-std=CL1.2,1024,0.43025
myGEMM.cl, 3,16,-cl-std=CL1.2,2048,3.43715
myGEMM.cl, 3,16,-cl-std=CL1.2,512,0.05295
myGEMM.cl, 3,16,-cl-std=CL1.2,1024,0.44700
myGEMM.cl, 3,16,-cl-std=CL1.2,2048,3.43653
myGEMM.cl, 3,16,-cl-std=CL1.2,512,0.05265
myGEMM.cl, 3,16,-cl-std=CL1.2,1024,0.43034
myGEMM.cl, 3,16,-cl-std=CL1.2,2048,3.41655
myGEMM.cl, 3,16,-cl-std=CL1.2,512,0.05443
myGEMM.cl, 3,16,-cl-std=CL1.2,1024,0.43710
myGEMM.cl, 3,16,-cl-std=CL1.2,2048,3.42607
myGEMM.cl, 4, 8,-cl-std=CL1.2,512,0.05563
myGEMM.cl, 4, 8,-cl-std=CL1.2,1024,0.48594
myGEMM.cl, 4, 8,-cl-std=CL1.2,2048,3.76026
myGEMM.cl, 4, 8,-cl-std=CL1.2,512,0.05869
myGEMM.cl, 4, 8,-cl-std=CL1.2,1024,0.49369
myGEMM.cl, 4, 8,-cl-std=CL1.2,2048,3.78145
myGEMM.cl, 4, 8,-cl-std=CL1.2,512,0.05888
myGEMM.cl, 4, 8,-cl-std=CL1.2,1024,0.48185
myGEMM.cl, 4, 8,-cl-std=CL1.2,2048,3.70295
myGEMM.cl, 4, 8,-cl-std=CL1.2,512,0.05904
myGEMM.cl, 4, 8,-cl-std=CL1.2,1024,0.50488
myGEMM.cl, 4, 8,-cl-std=CL1.2,2048,3.66614
myGEMM.cl, 4, 8,-cl-std=CL1.2,512,0.05828
